Customer_ID,Age,Income,Education,Marital_Status,Kidhome,Teenhome,Total_Orders,Average_Order_Value,Purchase_Frequency,Total_Spent,Days_Since_Last_Purchase,Customer_Tenure,CLV
6864,25,10979.0,Master,Divorced,0,0,8,3.75,6.1538,30,34,39,30.0
3033,51,38620.0,Master,Together,0,0,11,28.91,0.7952,318,56,415,318.02
5710,44,40548.0,Graduation,Together,0,1,9,13.33,0.4299,120,31,628,119.96
7373,62,46610.0,PhD,Divorced,0,2,17,17.76,0.8374,302,8,609,301.91
8755,68,68657.0,Master,Married,0,0,18,66.44,1.0909,1196,4,495,1195.91
10738,63,49389.0,Master,Single,1,1,6,10.83,0.5902,65,55,305,64.98
4339,44,67353.0,PhD,Married,0,1,28,32.61,4.6409,913,37,181,913.08
10755,38,23718.0,2n Cycle,Married,1,0,9,9.0,0.897,81,76,301,81.0
8595,41,42429.0,Graduation,Widow,0,1,7,9.57,1.5108,67,99,139,66.99
2968,71,48948.0,PhD,Divorced,0,0,24,37.58,1.4008,902,53,514,901.93
8601,34,80011.0,Graduation,Married,0,1,21,66.43,1.4754,1395,3,427,1395.02
503,29,20559.0,Master,Married,1,0,7,7.57,0.4421,53,88,475,52.99
8430,57,21994.0,Graduation,Together,0,1,4,5.5,0.217,22,4,553,22.0
7281,55,,PhD,Single,0,0,9,20.67,1.1392,186,80,237,186.02
2139,39,7500.0,Master,Married,1,0,8,3.88,0.8856,31,19,271,31.04
1371,38,79941.0,Graduation,Single,0,0,16,61.5,240.0,984,72,2,984.0
9909,18,7500.0,2n Cycle,Married,0,0,10,12.2,0.5017,122,24,598,122.01
7286,46,41728.0,Graduation,Together,1,0,5,11.0,0.3731,55,92,402,54.99
7244,63,,Graduation,Single,2,1,10,12.4,1.6667,124,96,180,124.0
6566,60,72550.0,PhD,Married,1,1,28,47.11,1.4023,1319,39,599,1319.04
8614,57,65486.0,Graduation,Widow,0,1,17,29.82,10.4082,507,29,49,506.94
4114,50,79143.0,Master,Married,0,0,29,58.38,1.2645,1693,2,688,1692.97
1331,37,35790.0,Graduation,Single,1,0,7,10.29,0.386,72,54,544,72.02
2225,37,82582.0,Graduation,Divorced,0,0,21,77.0,27.3913,1617,54,23,1617.0
9381,36,66373.0,Graduation,Married,1,1,23,26.35,1.8016,606,57,383,606.06
6260,59,82384.0,Master,Together,0,0,27,72.48,1.3776,1957,55,588,1957.03
10383,48,70287.0,Graduation,Divorced,0,0,21,52.05,1.3877,1093,30,454,1093.08
7437,26,27938.0,Graduation,Single,1,0,6,4.83,2.8571,29,31,63,28.98
8557,32,,Graduation,Single,1,0,7,6.57,0.5556,46,57,378,45.99
8375,46,55954.0,PhD,Married,0,1,19,27.26,4.7899,518,63,119,517.94
6853,32,75777.0,Master,Single,0,0,21,68.48,1.7452,1438,12,361,1438.12
3076,39,66653.0,Graduation,Together,1,1,22,27.82,0.9985,612,18,661,612.05
1012,62,61823.0,Graduation,Single,0,1,24,36.83,1.4487,884,26,497,883.92
6518,63,67680.0,PhD,Widow,0,1,19,31.89,1.4844,606,8,384,605.92
4137,66,70666.0,Graduation,Together,0,0,16,67.25,2.3301,1076,29,206,1076.0
8082,43,25721.0,Graduation,Married,1,0,5,6.8,0.3704,34,75,405,34.0
1386,47,32474.0,Graduation,Together,1,1,4,2.75,2.4,11,0,50,11.0
9369,35,88194.0,2n Cycle,Single,0,1,32,39.81,9.3204,1274,19,103,1273.92
4477,56,69096.0,Graduation,Together,0,1,18,36.28,1.9565,653,4,276,653.03
1357,44,74854.0,Graduation,Together,1,2,19,82.21,1.2723,1562,90,448,1561.96
1402,60,66991.0,Master,Married,0,0,21,59.67,0.9589,1253,1,657,1253.06
10629,41,,2n Cycle,Married,1,0,9,12.11,0.4128,109,25,654,108.98
6312,55,65031.0,Graduation,Married,0,1,30,28.77,1.9149,863,29,470,863.1
8132,39,60631.0,PhD,Married,1,1,24,27.54,1.5965,661,88,451,660.98
1050,62,28332.0,Graduation,Married,0,0,8,8.12,3.9344,65,58,61,64.96
5846,37,40246.0,Graduation,Divorced,1,0,4,3.25,0.2151,13,68,558,13.0
1859,42,75251.0,Master,Married,0,0,19,99.47,0.8482,1890,34,672,1889.9
7503,38,75825.0,Graduation,Single,0,0,22,100.41,1.0543,2209,40,626,2208.99
10401,38,26326.0,2n Cycle,Together,0,0,4,4.5,0.4013,18,12,299,18.0
1618,49,56046.0,Graduation,Together,0,0,21,32.95,1.1581,692,9,544,691.96
3332,29,29760.0,Graduation,Single,1,0,12,13.75,0.5373,165,87,670,165.0
2261,45,26304.0,Graduation,Married,1,0,4,4.0,0.3226,16,5,372,16.0
5346,41,23559.0,2n Cycle,Married,1,0,9,8.78,0.7459,79,87,362,79.02
4119,51,38620.0,Master,Together,0,0,11,28.91,0.7952,318,56,415,318.02
535,27,81361.0,Graduation,Divorced,0,0,27,28.81,6.48,778,18,125,777.87
5268,54,29440.0,Graduation,Married,1,1,7,8.0,0.6502,56,95,323,56.0
273,44,36138.0,Master,Married,1,1,13,11.62,1.1175,151,48,349,151.06
4452,57,50388.0,Graduation,Single,0,1,17,21.88,15.4545,372,3,33,371.96
8504,41,79593.0,Graduation,Married,0,0,19,71.89,11.6327,1366,70,49,1365.92
771,47,54178.0,Graduation,Together,0,1,10,19.4,1.875,194,79,160,194.0
8996,57,,PhD,Married,2,1,29,20.79,1.4796,603,4,588,602.91
9235,57,,Graduation,Single,1,1,4,4.5,3.5294,18,45,34,18.0
5798,41,,Master,Together,0,0,15,65.67,2.0548,985,87,219,985.05
11178,42,42394.0,Master,Single,1,0,5,6.4,1.5152,32,69,99,32.0
2230,44,23626.0,PhD,Married,1,0,10,4.3,8.1081,43,84,37,43.0
7516,31,30096.0,Graduation,Married,1,0,6,7.5,4.6154,45,30,39,45.0
7247,54,47916.0,Graduation,Widow,0,1,22,27.55,1.1282,606,72,585,606.1
11100,42,51813.0,Graduation,Divorced,1,1,7,9.0,0.4719,63,37,445,63.0
4646,63,78497.0,2n Cycle,Married,0,0,25,39.12,3.5545,978,44,211,978.0
3037,31,50150.0,PhD,Married,0,0,16,25.62,1.28,410,32,375,409.92
1473,54,47823.0,2n Cycle,Single,0,1,7,10.29,0.614,72,0,342,72.03
1016,55,34554.0,PhD,Single,0,1,7,7.86,2.2826,55,43,92,55.02
4518,35,85693.0,Graduation,Together,0,1,27,43.3,1.8578,1169,59,436,1169.1
9370,69,65846.0,PhD,Married,0,0,16,70.0,1.1736,1120,68,409,1120.01
8908,55,87195.0,Graduation,Married,0,0,20,54.85,11.3208,1097,35,53,1097.0
8373,35,24594.0,Basic,Together,1,0,5,5.8,0.7426,29,94,202,29.0
7533,50,49096.0,Graduation,Married,1,1,13,14.38,1.3978,187,15,279,186.93
2683,45,52413.0,Graduation,Married,0,2,26,35.0,1.5205,910,56,513,910.02
3629,36,38557.0,Graduation,Single,1,0,9,16.11,0.4839,145,17,558,145.0
10991,54,89058.0,Master,Married,0,0,14,60.71,0.7368,850,18,570,849.89
5077,35,77298.0,Graduation,Together,0,1,24,40.38,3.0,969,46,240,969.12
7431,23,68126.0,PhD,Single,0,0,17,107.06,0.8543,1820,40,597,1820.08
3267,51,57288.0,Master,Together,0,1,20,30.4,120.0,608,27,5,608.0
999,23,86037.0,Graduation,Single,0,0,25,29.2,1.3787,730,95,544,730.01
9215,34,43974.0,PhD,Married,1,0,21,26.24,1.115,551,19,565,551.02
2286,52,50785.0,Graduation,Single,1,1,8,14.25,0.8191,114,27,293,114.0
1592,44,90765.0,Graduation,Married,0,0,15,114.93,2.8662,1724,25,157,1723.92
367,36,36550.0,2n Cycle,Married,1,0,20,28.85,1.2097,577,74,496,577.01
5234,47,30753.0,2n Cycle,Together,1,1,7,11.57,0.5932,81,85,354,80.99
9862,45,21918.0,Graduation,Together,1,0,7,4.71,0.9211,33,37,228,32.97
9805,61,56129.0,Master,Together,0,1,22,30.0,1.76,660,65,375,660.0
6205,47,32557.0,Master,Single,1,0,9,8.89,2.1429,80,13,126,80.01
8442,29,19510.0,Master,Married,2,0,6,5.0,0.602,30,63,299,30.0
7386,38,30992.0,Graduation,Divorced,1,0,5,8.6,0.3456,43,83,434,43.0
7215,31,101970.0,Graduation,Single,0,0,27,42.04,1.7053,1135,69,475,1135.1
1491,49,71488.0,2n Cycle,Together,0,0,16,34.94,0.9658,559,87,497,559.04
11071,30,79607.0,Graduation,Single,0,0,16,120.19,1.1034,1923,37,435,1922.96
3381,61,54348.0,Master,Married,1,1,8,11.25,10.9091,90,51,22,90.0
8268,53,,PhD,Married,0,1,17,23.76,1.4407,404,23,354,403.93
11051,58,77376.0,PhD,Together,1,1,23,28.74,13.5294,661,72,51,661.02
8026,62,62998.0,Graduation,Married,0,1,19,24.37,2.0879,463,10,273,463.03
433,56,61331.0,Master,Alone,1,1,23,27.48,1.4465,632,42,477,632.02
9597,45,73448.0,Graduation,Married,0,0,19,38.16,4.0714,725,10,140,725.03
1295,51,,Graduation,Married,0,1,19,38.16,1.7647,725,96,323,725.04
5290,50,41551.0,PhD,Married,1,1,16,17.44,1.5,279,51,320,279.04
1685,47,62981.0,PhD,Together,0,0,23,64.43,1.4681,1482,21,470,1481.91
5342,38,9548.0,Basic,Divorced,1,0,6,4.83,0.2605,29,31,691,28.98
9579,55,33762.0,PhD,Married,2,1,9,11.78,0.7542,106,61,358,106.02
7660,41,35860.0,PhD,Alone,1,1,6,8.17,4.2857,49,37,42,49.02
1461,49,36921.0,PhD,Divorced,1,1,7,5.43,0.6231,38,74,337,38.01
821,22,92859.0,Master,Single,0,0,22,94.41,1.0662,2077,46,619,2076.95
11084,38,65104.0,Master,Together,0,1,17,61.94,2.2368,1053,4,228,1052.96
8690,52,86111.0,Graduation,Married,0,0,23,60.22,1.5789,1385,73,437,1385.02
2937,40,68352.0,PhD,Single,0,1,25,34.84,2.451,871,47,306,871.01
9701,26,41883.0,Graduation,Together,1,0,12,26.0,0.7692,312,13,468,311.99
9949,38,59809.0,Graduation,Married,0,2,15,58.47,0.7258,877,36,620,877.04
10837,39,23957.0,Graduation,Married,1,0,6,11.33,0.2951,68,47,610,67.98
3120,33,38547.0,Graduation,Together,1,0,4,5.5,0.3922,22,49,306,22.0
5885,41,35688.0,2n Cycle,Married,2,1,16,13.19,0.709,211,94,677,211.04
4050,48,49605.0,Master,Married,0,0,8,15.88,26.6667,127,65,9,127.04
3830,61,59354.0,Master,Married,0,2,16,28.69,7.1642,459,59,67,459.04
7987,45,65747.0,Graduation,Married,0,1,19,24.21,4.9565,460,96,115,459.99
7798,42,46344.0,2n Cycle,Together,0,1,17,25.24,0.9059,429,28,563,429.1
92,26,34176.0,Graduation,Alone,1,0,11,8.09,6.7347,89,12,49,88.99
7055,62,61010.0,PhD,Together,0,1,26,39.27,1.2401,1021,57,629,1021.05
10240,65,69372.0,Graduation,Together,0,0,21,65.76,1.2702,1381,10,496,1381.0
3025,56,49967.0,Graduation,Single,0,1,15,20.4,1.2605,306,4,357,306.0
9283,36,60199.0,Graduation,Single,1,2,4,4.5,0.4124,18,49,291,18.0
9970,37,55375.0,Graduation,Together,0,1,9,18.0,1.0547,162,3,256,162.0
2730,59,80317.0,Graduation,Single,0,0,18,68.39,1.7197,1231,64,314,1230.99
2795,56,30523.0,Master,Single,2,1,4,3.25,0.3297,13,0,364,13.0
9260,69,70356.0,PhD,Married,0,0,27,63.19,1.3455,1706,20,602,1706.11
8182,30,23228.0,Graduation,Married,1,0,11,11.0,1.875,121,91,176,121.0
10095,39,74165.0,PhD,Divorced,0,0,20,64.65,1.4118,1293,9,425,1293.03
8475,41,157243.0,PhD,Married,0,1,37,43.46,9.1736,1608,98,121,1608.03
4370,48,43482.0,Graduation,Together,2,1,9,9.78,1.179,88,83,229,88.02
10573,61,62551.0,Graduation,Divorced,0,0,18,23.39,2.4107,421,27,224,421.02
3712,55,52332.0,Graduation,Divorced,0,0,12,21.58,1.1765,259,63,306,258.97
6637,26,66951.0,Graduation,Single,0,0,15,74.47,1.875,1117,46,240,1117.05
3152,57,26091.0,Graduation,Together,1,1,9,9.89,2.16,89,84,125,89.01
5610,49,33456.0,Graduation,Together,1,1,6,6.0,2.5714,36,58,70,36.0
6460,32,28718.0,Graduation,Married,1,0,7,8.14,0.5966,57,78,352,56.98
1349,44,50447.0,Graduation,Married,2,0,8,18.5,3.4286,148,4,70,148.0
1880,55,53537.0,PhD,Together,1,1,8,11.62,1.5894,93,17,151,92.96
641,47,52074.0,Graduation,Single,0,1,7,17.0,2.4138,119,77,87,119.0
8717,39,80427.0,PhD,Married,0,1,28,65.54,1.2805,1835,56,656,1835.14
10314,66,83837.0,PhD,Married,0,0,25,52.72,1.3369,1318,79,561,1318.0
10854,44,38853.0,PhD,Married,1,1,7,6.43,5.5263,45,90,38,45.01
10492,55,38285.0,Graduation,Together,2,1,4,2.5,20.0,10,96,6,10.0
6935,63,78497.0,2n Cycle,Married,0,0,25,39.12,3.5545,978,44,211,978.0
7698,38,51650.0,PhD,Married,0,1,10,19.1,6.0,191,81,50,191.0
3559,26,16248.0,2n Cycle,Married,1,0,9,6.33,5.2941,57,77,51,56.97
10562,68,66835.0,Master,Married,0,0,24,43.04,2.6182,1033,21,275,1032.97
10796,30,30477.0,Master,Married,1,0,6,11.0,1.1321,66,16,159,66.0
2563,53,28249.0,Basic,Married,0,0,6,7.17,12.0,43,80,15,43.02
3518,31,25271.0,Graduation,Married,1,0,5,10.0,0.2622,50,45,572,49.99
5823,44,32303.0,PhD,Single,0,1,7,5.57,1.8421,39,63,114,38.99
3934,48,61286.0,Graduation,Married,0,1,18,33.78,1.6265,608,34,332,608.04
6982,38,74068.0,Graduation,Married,0,0,24,65.88,1.5385,1581,14,468,1581.16
6431,50,45759.0,PhD,Married,1,1,7,9.71,0.4268,68,13,492,67.97
9733,36,24882.0,Basic,Together,1,0,5,16.0,0.2276,80,52,659,79.99
5602,25,66973.0,PhD,Together,0,0,28,45.79,2.0538,1282,98,409,1282.13
1324,26,38872.0,Graduation,Married,1,0,8,11.38,0.6061,91,93,396,91.05
326,41,51148.0,Graduation,Married,1,1,16,19.69,0.9658,315,38,497,315.04
7224,37,31353.0,Graduation,Married,1,1,6,5.17,0.9836,31,24,183,31.02
6999,34,69661.0,Master,Married,0,0,23,36.26,14.375,834,80,48,833.98
9938,60,80067.0,Graduation,Married,0,0,17,94.12,1.7958,1600,82,284,1600.06
6422,60,86718.0,Graduation,Married,0,0,17,74.71,0.9641,1270,20,529,1270.09
3182,41,46854.0,PhD,Single,1,1,15,17.53,4.9451,263,81,91,262.95
7300,62,69142.0,Graduation,Divorced,0,1,19,28.16,570.0,535,50,1,535.04
10424,46,75922.0,Graduation,Single,0,0,18,71.94,2.6601,1295,60,203,1294.92
8727,36,63693.0,Graduation,Divorced,0,1,29,39.66,3.3591,1150,63,259,1150.15
2798,37,102160.0,PhD,Together,0,0,26,47.69,1.2893,1240,54,605,1239.98
1030,49,40637.0,PhD,Single,1,1,6,6.33,0.5172,38,72,348,37.98
624,30,18890.0,Master,Single,0,0,4,8.75,0.201,35,5,597,35.0
5176,26,29604.0,Graduation,Together,1,0,5,10.6,0.7353,53,88,204,53.0
5552,51,48721.0,Master,Divorced,1,1,17,17.24,1.2349,293,50,413,293.09
868,48,44794.0,Graduation,Married,0,1,6,10.83,8.1818,65,99,22,64.98
380,60,64497.0,Graduation,Divorced,0,1,29,62.21,1.3222,1804,17,658,1804.11
2677,58,46097.0,Graduation,Together,0,1,15,16.07,0.9868,241,11,456,241.04
6521,60,77972.0,Graduation,Together,0,0,20,55.05,5.7692,1101,18,104,1100.99
6927,46,44377.0,PhD,Married,1,1,19,13.89,0.9005,264,70,633,263.92
2877,40,46014.0,Master,Together,1,1,26,20.81,1.4857,541,21,525,541.05
0,29,70951.0,Graduation,Married,0,0,17,70.47,1.2085,1198,66,422,1197.96
1584,37,41443.0,Graduation,Married,1,0,20,24.1,6.6667,482,79,90,482.0
7264,36,52195.0,2n Cycle,Single,2,1,4,4.25,2.449,17,2,49,17.0
6274,66,83790.0,Master,Married,0,0,25,64.6,3.304,1615,81,227,1615.02
1377,60,44551.0,Master,Widow,0,1,12,23.75,1.1881,285,24,303,285.0
454,34,69508.0,Graduation,Together,1,0,28,40.54,1.4165,1135,48,593,1135.1
1755,26,45204.0,2n Cycle,Together,1,0,7,16.29,2.625,114,93,80,114.03
2075,45,72460.0,Graduation,Married,0,0,16,65.44,2.1053,1047,56,228,1047.06
4785,44,77622.0,PhD,Together,0,2,22,32.45,8.5714,714,3,77,713.9
9076,34,30732.0,PhD,Married,1,0,13,14.23,0.7209,185,44,541,184.99
7079,52,63887.0,Graduation,Divorced,0,1,32,38.91,1.4545,1245,38,660,1245.08
4653,36,42011.0,Graduation,Together,1,0,12,15.75,0.7809,189,46,461,189.0
7375,38,51369.0,Graduation,Together,0,1,16,36.0,0.783,576,84,613,575.97
709,62,51537.0,Graduation,Divorced,0,1,18,61.28,0.9507,1103,27,568,1103.04
460,42,79930.0,PhD,Married,0,0,17,103.12,0.7381,1753,72,691,1753.13
3726,28,34320.0,PhD,Together,1,0,4,4.25,0.8955,17,66,134,17.0
6798,48,37070.0,Graduation,Single,1,1,23,18.83,1.4775,433,30,467,433.09
5341,52,81975.0,2n Cycle,Divorced,0,1,14,113.43,0.7763,1588,2,541,1587.94
1606,43,38590.0,Graduation,Together,1,0,4,5.5,0.292,22,65,411,22.0
9617,63,15033.0,Graduation,Single,0,0,5,3.8,2.0,19,37,75,19.0
3233,49,62745.0,PhD,Married,0,1,29,38.52,1.875,1117,89,464,1117.08
89,39,22212.0,2n Cycle,Married,1,0,8,8.62,1.1823,69,49,203,68.96
2936,32,23661.0,Master,Together,1,0,5,4.6,0.7212,23,46,208,23.0
9449,56,79761.0,PhD,Single,0,1,19,31.84,2.119,605,32,269,604.97
7297,41,7500.0,Graduation,Single,1,0,11,5.18,1.7742,57,54,186,56.98
313,46,73455.0,Graduation,Widow,0,0,22,94.91,2.6939,2088,98,245,2088.04
9940,56,64961.0,Graduation,Together,0,1,16,63.06,0.8664,1009,97,554,1008.93
10735,43,22804.0,Graduation,Single,1,0,5,5.2,0.4491,26,75,334,26.0
9529,24,73687.0,Graduation,Married,0,0,22,73.95,3.0841,1627,8,214,1626.89
6439,56,61074.0,Graduation,Married,0,1,31,35.55,1.3636,1102,37,682,1102.02
7411,50,31686.0,PhD,Married,1,1,6,2.83,7.2,17,31,25,16.98
2176,42,80134.0,Graduation,Married,1,0,16,105.62,1.1823,1690,40,406,1689.97
9265,61,75027.0,Graduation,Married,0,1,21,66.19,1.1732,1390,74,537,1390.01
8867,26,67546.0,PhD,Married,0,0,20,106.3,0.8982,2126,90,668,2125.99
8932,45,65176.0,Master,Together,0,1,25,61.24,1.2315,1531,57,609,1530.97
10236,39,31160.0,Master,Single,1,0,7,9.14,0.7317,64,59,287,63.98
6340,29,29938.0,Graduation,Single,1,0,6,4.33,0.7317,26,52,246,25.98
10089,40,102692.0,Graduation,Divorced,0,0,29,38.34,1.929,1112,5,451,1111.83
2227,56,26490.0,2n Cycle,Together,0,0,11,19.09,0.5108,210,92,646,209.98
10992,47,75702.0,Graduation,Together,1,1,26,44.15,1.1642,1148,77,670,1147.92
5304,40,30899.0,PhD,Single,1,0,6,5.5,0.288,33,35,625,33.0
309,53,63342.0,PhD,Together,0,1,19,57.95,0.9164,1101,48,622,1101.05
3406,50,45989.0,Graduation,Single,0,1,16,20.12,0.7792,322,97,616,321.91
2661,50,18701.0,Graduation,Single,1,1,10,4.4,0.7673,44,95,391,44.0
3153,57,40737.0,PhD,Single,2,1,4,4.25,0.5882,17,24,204,17.0
10264,35,15287.0,Graduation,Divorced,1,0,6,5.17,0.2866,31,60,628,31.02
1184,46,69674.0,PhD,Divorced,0,2,25,33.8,1.8564,845,46,404,844.98
4200,44,44159.0,Master,Married,1,0,15,18.33,34.6154,275,85,13,274.95
9396,36,37717.0,PhD,Married,1,0,4,6.25,0.2055,25,31,584,25.0
2387,62,43776.0,Master,Together,1,1,17,16.18,0.9961,275,9,512,275.06
6690,48,38179.0,Master,Married,1,1,11,8.18,0.6977,90,30,473,89.98
1225,51,80124.0,Graduation,Married,0,0,19,78.68,142.5,1495,47,4,1494.92
9703,44,38097.0,PhD,Married,1,1,11,16.73,0.5297,184,70,623,184.03
291,44,72940.0,Graduation,Married,0,0,13,75.46,1.0372,981,13,376,980.95
4557,44,22070.0,Graduation,Together,1,0,8,8.38,0.8922,67,11,269,67.04
2379,61,69267.0,Graduation,Single,0,0,14,116.79,0.6502,1635,31,646,1635.17
5726,31,31788.0,Master,Single,1,0,10,6.0,2.9412,60,15,102,60.0
3066,39,61905.0,PhD,Together,0,1,12,19.25,2.4658,231,2,146,231.0
6336,54,29315.0,Graduation,Married,1,1,10,4.8,3.5294,48,55,85,48.0
10967,51,33378.0,Graduation,Divorced,1,1,9,11.0,0.5305,99,38,509,99.01
2304,51,66313.0,PhD,Together,0,1,23,33.48,2.4042,770,86,287,770.05
3445,58,60714.0,Graduation,Single,0,0,23,41.61,1.3043,957,56,529,956.99
7828,33,77882.0,Master,Together,0,0,12,68.17,5.9016,818,29,61,818.03
3762,28,69867.0,PhD,Single,0,0,17,54.41,1.1233,925,30,454,924.93
4391,46,63841.0,Master,Divorced,0,1,22,41.27,1.5172,908,64,435,907.92
4669,33,24480.0,Basic,Married,1,0,10,10.2,0.5952,102,46,504,101.99
10144,38,51369.0,Graduation,Together,0,1,16,36.0,0.783,576,84,613,575.97
8652,68,37760.0,Graduation,Together,0,0,13,24.38,0.5838,317,20,668,316.92
1672,40,65640.0,PhD,Together,0,1,15,30.73,3.719,461,74,121,460.95
8962,39,44319.0,Master,Married,1,1,7,5.29,2.8378,37,18,74,37.03
9974,40,30631.0,Graduation,Married,1,0,7,10.0,0.5949,70,75,353,70.0
10983,62,75278.0,Graduation,Together,0,0,23,40.43,1.3346,930,17,517,929.87
8148,58,50898.0,Master,Together,1,1,33,26.03,1.8401,859,88,538,858.97
10102,48,79946.0,Graduation,Widow,0,0,22,67.18,13.4694,1478,19,49,1477.96
4697,65,35416.0,Master,Divorced,0,0,16,24.38,1.2565,390,62,382,390.07
9262,30,32414.0,2n Cycle,Together,0,0,5,10.4,0.4155,52,11,361,52.0
7254,45,38361.0,Graduation,Together,1,0,10,13.7,1.6216,137,74,185,137.0
4543,34,82497.0,Graduation,Married,0,0,19,101.0,0.939,1919,32,607,1918.91
4927,43,16626.0,Graduation,Together,2,0,9,7.56,1.6265,68,76,166,68.04
10451,49,29672.0,Graduation,Together,1,1,4,6.25,0.2526,25,6,475,25.0
2926,62,55951.0,Master,Together,0,1,23,59.74,1.0207,1374,62,676,1374.01
2874,26,35388.0,2n Cycle,Divorced,1,0,5,6.4,0.3125,32,20,480,32.0
9738,28,42386.0,Master,Together,1,0,7,14.29,0.394,100,43,533,100.03
7119,32,68627.0,Graduation,Single,0,0,12,68.75,0.6742,825,45,534,825.05
3924,49,57912.0,PhD,Divorced,0,1,28,32.71,8.0,916,34,105,915.88
5827,56,35246.0,Graduation,Divorced,1,1,11,5.64,4.4,62,53,75,62.04
5596,58,58821.0,2n Cycle,Together,0,1,21,34.67,2.4138,728,44,261,728.07
10812,36,46377.0,PhD,Married,1,0,7,12.86,1.7355,90,89,121,90.02
1717,26,39747.0,Graduation,Single,1,0,13,21.0,5.0,273,43,78,273.0
9491,30,23976.0,Graduation,Together,1,0,10,6.6,1.6216,66,68,185,66.0
9274,53,80950.0,Master,Married,0,0,23,52.74,1.5033,1213,44,459,1213.05
6609,48,27038.0,Graduation,Widow,0,0,7,15.29,0.3231,107,64,650,107.04
6963,67,77457.0,Graduation,Single,0,0,18,64.28,4.6154,1157,85,117,1157.04
4440,50,64100.0,Master,Married,0,1,18,30.33,1.843,546,93,293,545.94
1379,22,42670.0,Master,Together,0,0,11,21.91,0.7692,241,12,429,241.0
10032,38,12571.0,Graduation,Divorced,1,0,11,4.82,2.0245,53,86,163,53.02
2826,47,22574.0,Graduation,Married,2,1,7,5.29,0.8571,37,28,245,37.03
2437,25,,Graduation,Married,0,0,24,67.12,1.8367,1611,69,392,1610.85
6320,38,70893.0,Master,Single,0,0,23,65.57,1.3556,1508,42,509,1508.11
3050,48,54198.0,Graduation,Married,1,1,16,14.69,2.4615,235,13,195,235.04
231,58,28839.0,Master,Together,1,1,7,4.57,1.8919,32,86,111,31.99
2392,42,40321.0,Graduation,Married,1,1,8,12.75,0.7143,102,59,336,102.0
9478,29,66503.0,Graduation,Single,1,0,15,26.73,0.6569,401,30,685,400.93
113,63,30833.0,Graduation,Married,1,1,6,4.67,0.5158,28,33,349,28.02
2863,44,,Graduation,Single,1,2,21,50.1,2.0257,1052,67,311,1052.09
1802,43,64795.0,Graduation,Married,0,1,21,32.38,1.1909,680,23,529,679.96
520,40,34421.0,Graduation,Married,1,0,4,7.5,0.3297,30,81,364,30.0
8275,49,47025.0,PhD,Divorced,1,1,4,5.0,0.8511,20,6,141,20.0
